time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,ori_w,ori_x,ori_y,ori_z,angvel_x,angvel_y,angvel_z,angacc_x,angacc_y,angacc_z,alpha,drag_x,drag_y,drag_z,lift_x,lift_y,lift_z
0.44,0,0,51.4325,0,0,75.078,0,0,-112.226,1,0,0,0,0,0,0,0,0,0,0,0,0,-6.08369,0,0,0,
0.45,0,0,52.1724,0,0,73.9857,0,0,-109.231,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.90581,0,0,0,
0.46,0,0,52.9016,0,0,72.9221,0,0,-106.359,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.73522,0,0,0,
0.47,0,0,53.6204,0,0,71.8861,0,0,-103.603,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.57151,0,0,0,
0.48,0,0,54.3292,0,0,70.8765,0,0,-100.957,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.41432,0,0,0,
0.49,0,0,55.0281,0,0,69.8924,0,0,-98.4146,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.26331,0,0,0,
0.5,0,0,55.7174,0,0,68.9327,0,0,-95.9709,1,0,0,0,0,0,0,0,0,0,0,0,0,-5.11816,0,0,0,
0.51,0,0,56.3974,0,0,67.9965,0,0,-93.6209,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.97857,0,0,0,
0.52,0,0,57.0682,0,0,67.0829,0,0,-91.3597,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.84425,0,0,0,
0.53,0,0,57.7302,0,0,66.1911,0,0,-89.183,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.71495,0,0,0,
0.54,0,0,58.3834,0,0,65.3202,0,0,-87.0865,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.59042,0,0,0,
0.55,0,0,59.0281,0,0,64.4695,0,0,-85.0663,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.47042,0,0,0,
0.56,0,0,59.6644,0,0,63.6383,0,0,-83.1189,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.35475,0,0,0,
0.57,0,0,60.2927,0,0,62.8259,0,0,-81.2407,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.24318,0,0,0,
0.58,0,0,60.913,0,0,62.0316,0,0,-79.4285,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.13554,0,0,0,
0.59,0,0,61.5256,0,0,61.2549,0,0,-77.6792,1,0,0,0,0,0,0,0,0,0,0,0,0,-4.03163,0,0,0,
0.6,0,0,62.1305,0,0,60.495,0,0,-75.99,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.93129,0,0,0,
0.61,0,0,62.728,0,0,59.7514,0,0,-74.3581,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.83435,0,0,0,
0.62,0,0,63.3183,0,0,59.0236,0,0,-72.7809,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.74067,0,0,0,
0.63,0,0,63.9014,0,0,58.311,0,0,-71.2561,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.6501,0,0,0,
0.64,0,0,64.4775,0,0,57.6132,0,0,-69.7814,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.5625,0,0,0,
0.65,0,0,65.0468,0,0,56.9296,0,0,-68.3545,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.47774,0,0,0,
0.66,0,0,65.6094,0,0,56.2599,0,0,-66.9735,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.39571,0,0,0,
0.67,0,0,66.1654,0,0,55.6035,0,0,-65.6364,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.31629,0,0,0,
